model,status,verdict,data_hash_sha256,eligible_coverage,undetermined_coverage,max_significant_coverage,c_accuracy,c_defined_coverage,anchor_agreement,anchor_passed,prompt_strategy_name,summary_json_path
mlx-community/Qwen3-1.7B-4bit,ok,Recoverable-for-M,94825f3d2029c0049f2a087b0093117edc576ada84f2a073b4eccdbf8e3fe3d5,1.0,0.0,1.0,0.595,1.0,,,raw_passthrough,experiments/v4-mech-prep/2026-05-17/run-02/Qwen3-1.7B-4bit_belief_readout.json
mlx-community/Llama-3.2-3B-Instruct-4bit,ok,Recoverable-for-M,94825f3d2029c0049f2a087b0093117edc576ada84f2a073b4eccdbf8e3fe3d5,1.0,0.0,1.0,0.715,1.0,,,raw_passthrough,experiments/v4-mech-prep/2026-05-17/run-02/Llama-3.2-3B-Instruct-4bit_belief_readout.json
mlx-community/gemma-3-4b-it-4bit,ok,Recoverable-for-M,94825f3d2029c0049f2a087b0093117edc576ada84f2a073b4eccdbf8e3fe3d5,1.0,0.0,1.0,0.755,1.0,,,raw_passthrough,experiments/v4-mech-prep/2026-05-17/run-02/gemma-3-4b-it-4bit_belief_readout.json
mlx-community/Phi-3.5-mini-instruct-4bit,ok,Low-decidedness-for-M,94825f3d2029c0049f2a087b0093117edc576ada84f2a073b4eccdbf8e3fe3d5,0.185,0.0,0.185,0.8918918918918919,0.185,,,raw_passthrough,experiments/v4-mech-prep/2026-05-17/run-02/Phi-3.5-mini-instruct-4bit_belief_readout.json
mlx-community/Phi-4-mini-instruct-4bit,ok,Recoverable-for-M,94825f3d2029c0049f2a087b0093117edc576ada84f2a073b4eccdbf8e3fe3d5,1.0,0.0,1.0,0.735,1.0,,,raw_passthrough,experiments/v4-mech-prep/2026-05-17/run-02/Phi-4-mini-instruct-4bit_belief_readout.json
mlx-community/Mistral-7B-Instruct-v0.3-4bit,ok,Recoverable-for-M,94825f3d2029c0049f2a087b0093117edc576ada84f2a073b4eccdbf8e3fe3d5,0.995,0.0,0.995,0.7487437185929648,0.995,,,raw_passthrough,experiments/v4-mech-prep/2026-05-17/run-02/Mistral-7B-Instruct-v0.3-4bit_belief_readout.json
mlx-community/Qwen2.5-7B-Instruct-4bit,ok,Recoverable-for-M,94825f3d2029c0049f2a087b0093117edc576ada84f2a073b4eccdbf8e3fe3d5,0.98,0.0,0.98,0.8418367346938775,0.98,,,raw_passthrough,experiments/v4-mech-prep/2026-05-17/run-02/Qwen2.5-7B-Instruct-4bit_belief_readout.json
mlx-community/Qwen3-8B-4bit,ok,Recoverable-for-M,94825f3d2029c0049f2a087b0093117edc576ada84f2a073b4eccdbf8e3fe3d5,0.995,0.0,0.995,0.8492462311557789,0.995,,,raw_passthrough,experiments/v4-mech-prep/2026-05-17/run-02/Qwen3-8B-4bit_belief_readout.json
mlx-community/Llama-3.1-8B-Instruct-4bit,ok,Recoverable-for-M,94825f3d2029c0049f2a087b0093117edc576ada84f2a073b4eccdbf8e3fe3d5,0.995,0.0,0.995,0.7688442211055276,0.995,,,raw_passthrough,experiments/v4-mech-prep/2026-05-17/run-02/Llama-3.1-8B-Instruct-4bit_belief_readout.json
mlx-community/Mistral-Nemo-Instruct-2407-4bit,ok,Recoverable-for-M,94825f3d2029c0049f2a087b0093117edc576ada84f2a073b4eccdbf8e3fe3d5,1.0,0.0,1.0,0.82,1.0,0.99,True,apply_chat_template,experiments/v4-mech-prep/2026-05-17/run-02/Mistral-Nemo-Instruct-2407-4bit_belief_readout.json
